unique_id,ds,y_freight,y_items,y_weight_kg,items_missing_weight
01_07,2018-08-06,14.8,2,0.35,0
01_07,2018-08-13,9.55,1,0.35,0
01_08,2017-01-23,18.0,1,0.2,0
01_08,2017-02-06,17.96,1,2.1,0
01_08,2017-03-06,9.61,1,0.75,0
01_08,2017-05-01,10.96,1,0.15,0
01_08,2017-05-08,7.78,1,0.15,0
01_08,2017-05-22,7.78,1,0.2,0
01_08,2017-06-05,7.78,1,0.1,0
01_08,2017-07-17,9.44,1,0.75,0
01_08,2017-09-11,17.44,2,0.9,0
01_08,2017-10-02,7.78,1,0.167,0
01_08,2017-10-09,7.78,1,0.125,0
01_08,2017-10-16,23.34,3,0.30000000000000004,0
01_08,2017-10-30,7.78,1,0.05,0
01_08,2017-11-20,24.59,3,1.15,0
01_08,2017-12-11,7.78,1,0.15,0
01_08,2018-01-08,7.78,1,0.175,0
01_08,2018-01-15,16.5,2,0.44999999999999996,0
01_08,2018-02-05,7.78,1,0.05,0
01_08,2018-02-12,40.63,5,1.125,0
01_08,2018-02-19,15.56,2,0.45,0
01_08,2018-02-26,8.72,1,0.4,0
01_08,2018-03-05,15.83,2,0.35,0
01_08,2018-03-19,17.76,2,1.4500000000000002,0
01_08,2018-03-26,15.68,2,0.5,0
01_08,2018-04-02,22.23,2,1.8,0
01_08,2018-04-09,45.8,5,1.325,0
01_08,2018-04-16,20.1,2,4.332999999999999,0
01_08,2018-04-23,24.12,3,0.65,0
01_08,2018-04-30,14.78,2,0.35,0
01_08,2018-05-07,8.29,1,0.45,0
01_08,2018-05-14,14.78,2,0.32499999999999996,0
01_08,2018-06-11,22.169999999999998,3,0.442,0
01_08,2018-06-18,15.740000000000002,2,0.85,0
01_08,2018-06-25,49.099999999999994,2,9.473,0
01_08,2018-07-02,14.78,2,0.5,0
01_08,2018-07-09,7.39,1,0.15,0
01_08,2018-07-16,8.29,1,0.2,0
01_08,2018-07-23,15.759999999999998,2,0.75,0
01_08,2018-07-30,7.53,1,0.25,0
01_08,2018-08-06,21.29,2,0.75,0
01_08,2018-08-20,9.45,1,0.8,0
01_08,2018-08-27,7.43,1,0.225,0
01_09,2016-10-10,10.96,1,0.2,0
01_09,2017-01-30,11.74,1,0.35,0
01_09,2017-03-20,10.96,1,0.3,0
01_09,2017-04-10,12.01,1,0.7,0
01_09,2017-05-15,11.73,1,0.397,0
01_09,2017-05-22,7.78,1,0.1,0
01_09,2017-05-29,7.78,1,0.15,0
01_09,2017-06-19,45.27,2,13.15,0
01_09,2017-09-04,9.34,1,0.315,0
01_09,2017-10-09,7.78,1,0.167,0
01_09,2017-10-23,7.78,1,0.167,0
01_09,2017-11-06,33.98,1,16.9,0
01_09,2017-11-13,8.09,1,0.401,0
01_09,2017-11-20,17.12,2,0.9500000000000001,0
01_09,2017-11-27,16.5,2,0.4,0
01_09,2017-12-04,9.44,1,0.75,0
01_09,2017-12-11,7.78,1,0.167,0
01_09,2017-12-18,15.56,2,0.4,0
01_09,2017-12-25,17.12,2,0.7749999999999999,0
01_09,2018-01-01,7.78,1,0.15,0
01_09,2018-01-08,15.56,2,0.4,0
01_09,2018-01-15,7.78,1,0.15,0
01_09,2018-01-29,18.16,2,1.05,0
01_09,2018-02-05,27.200000000000003,2,9.2,0
01_09,2018-02-12,8.72,1,0.25,0
01_09,2018-02-26,7.78,1,0.15,0
01_09,2018-03-05,23.07,3,0.525,0
01_09,2018-03-19,8.29,1,0.15,0
01_09,2018-03-26,31.990000000000002,4,0.808,0
01_09,2018-04-09,14.78,2,0.47500000000000003,0
01_09,2018-04-16,7.39,1,0.25,0
01_09,2018-04-23,15.68,2,0.6,0
01_09,2018-04-30,51.94,4,4.475,0
01_09,2018-05-14,22.169999999999998,3,0.725,0
01_09,2018-05-21,16.58,2,0.3,0
01_09,2018-05-28,14.78,2,0.4,0
01_09,2018-06-04,15.68,2,0.65,0
01_09,2018-06-11,8.36,1,1.3,0
01_09,2018-06-18,7.39,1,0.15,0
01_09,2018-06-25,24.6,2,0.35,0
01_09,2018-07-02,36.41,4,1.35,0
01_09,2018-07-16,8.29,1,0.2,0
01_09,2018-07-23,16.44,2,0.9500000000000001,0
01_09,2018-07-30,7.39,1,0.075,0
01_09,2018-08-06,14.85,2,0.501,0
01_09,2018-08-13,8.3,1,0.5,0
01_09,2018-08-20,8.35,1,0.5,0
01_09,2018-08-27,8.33,1,0.45,0
01_11,2017-02-13,10.96,1,0.1,0
01_11,2017-03-20,23.48,2,2.2,0
01_11,2017-04-03,10.96,1,0.15,0
01_11,2017-05-15,9.44,1,0.75,0
01_11,2017-05-29,9.44,1,0.75,0
01_11,2017-06-05,9.51,1,0.5,0
01_11,2017-06-12,9.34,1,0.9,0
01_11,2017-07-17,7.78,1,0.15,0
01_11,2017-08-21,15.64,2,0.8220000000000001,0
01_11,2017-09-04,9.51,1,0.5,0
01_11,2017-09-18,13.23,1,1.95,0
01_11,2017-10-23,23.82,2,1.825,0
01_11,2017-10-30,11.85,1,0.1,0
01_11,2017-11-13,12.69,1,0.5,0
01_11,2017-11-20,31.48,3,0.5,0
01_11,2017-12-04,20.57,2,1.45,0
01_11,2017-12-11,29.19,3,1.025,0
01_11,2018-01-01,20.57,2,0.35,0
01_11,2018-01-15,58.04,5,1.0579999999999998,0
01_11,2018-01-22,31.6,3,0.44999999999999996,0
01_11,2018-01-29,7.78,1,0.2,0
01_11,2018-02-05,19.63,2,0.325,0
01_11,2018-02-12,57.94,6,2.175,0
01_11,2018-02-19,24.9,2,0.85,0
01_11,2018-03-12,15.68,2,1.45,0
01_11,2018-03-26,31.46,3,1.1,0
01_11,2018-04-02,30.35,3,1.277,0
01_11,2018-04-09,12.91,1,0.15,0
01_11,2018-04-23,20.18,2,0.30000000000000004,0
01_11,2018-04-30,8.29,1,0.2,0
01_11,2018-05-14,7.39,1,0.175,0
01_11,2018-05-28,9.19,1,0.975,0
01_11,2018-06-04,7.39,1,0.2,0
01_11,2018-06-18,14.78,2,0.44999999999999996,0
01_11,2018-06-25,47.81,5,0.7999999999999999,0
01_11,2018-07-02,20.299999999999997,2,0.22499999999999998,0
01_11,2018-07-09,12.79,1,0.2,0
01_11,2018-07-16,35.79,2,8.925,0
01_11,2018-07-30,8.14,1,0.15,0
01_11,2018-08-13,16.71,2,1.03,0
01_11,2018-08-20,7.4,1,0.2,0
01_12,2017-02-06,37.17,3,0.95,0
01_12,2017-02-20,10.96,1,0.225,0
01_12,2017-03-13,14.72,1,0.5,0
01_12,2017-05-15,11.87,1,0.3,0
01_12,2017-09-11,18.13,1,6.2,0
01_12,2017-09-25,15.56,2,0.25,0
01_12,2017-10-09,38.45,3,5.8,0
01_12,2017-10-16,14.459999999999999,2,1.2,0
01_12,2017-11-06,10.52,1,0.9,0
01_12,2017-11-27,21.189999999999998,2,0.4,0
01_12,2017-12-11,7.78,1,0.1,0
01_12,2018-01-01,11.85,1,0.2,0
01_12,2018-01-15,7.78,1,0.2,0
01_12,2018-01-22,11.85,1,0.2,0
01_12,2018-01-29,11.85,1,0.15,0
01_12,2018-02-05,11.85,1,0.175,0
01_12,2018-02-12,9.44,1,0.75,0
01_12,2018-03-12,12.79,1,0.175,0
01_12,2018-03-19,15.68,2,0.375,0
01_12,2018-03-26,14.78,2,0.32499999999999996,0
01_12,2018-04-02,7.39,1,0.2,0
01_12,2018-04-09,15.06,1,5.65,0
01_12,2018-04-30,27.39,1,2.1,0
01_12,2018-05-07,27.42,2,0.6,0
01_12,2018-05-14,12.79,1,0.175,0
01_12,2018-05-21,12.79,1,0.1,0
01_12,2018-05-28,13.71,1,0.345,0
01_12,2018-06-11,9.2,1,0.75,0
01_12,2018-06-18,7.39,1,0.15,0
01_12,2018-07-09,7.39,1,0.167,0
01_12,2018-07-16,7.44,1,0.15,0
01_12,2018-07-30,24.03,2,1.5,0
01_12,2018-08-06,38.31,4,1.95,0
01_12,2018-08-13,7.39,1,0.3,0
01_12,2018-08-20,7.45,1,0.133,0
01_13,2016-10-03,12.09,1,0.7,0
01_13,2017-01-23,40.7,3,0.75,0
01_13,2017-01-30,26.41,2,0.638,0
01_13,2017-02-06,14.12,1,1.7,0
01_13,2017-02-20,14.12,1,1.7,0
01_13,2017-03-13,23.41,2,2.4,0
01_13,2017-03-27,24.19,1,4.0,0
01_13,2017-04-03,11.92,1,0.8,0
01_13,2017-05-15,8.72,1,0.7,0
01_13,2017-05-22,11.85,1,0.3,0
01_13,2017-05-29,34.519999999999996,3,3.55,0
01_13,2017-07-10,0.76,1,0.3,0
01_13,2017-07-31,13.24,1,2.9,0
01_13,2017-08-07,7.78,1,0.1,0
01_13,2017-08-21,27.43,2,5.2219999999999995,0
01_13,2017-09-11,19.63,2,0.742,0
01_13,2017-09-18,27.71,2,3.0,0
01_13,2017-09-25,7.78,1,0.35,0
01_13,2017-10-02,24.42,3,0.7000000000000001,0
01_13,2017-10-09,69.16,2,11.8,0
01_13,2017-10-23,47.96,5,3.975,0
01_13,2017-10-30,19.63,2,0.25,0
01_13,2017-11-06,8.72,1,0.25,0
01_13,2017-11-13,22.75,2,6.175000000000001,0
01_13,2017-11-20,16.5,2,1.4000000000000001,0
01_13,2017-11-27,27.39,3,1.75,0
01_13,2017-12-04,7.81,1,0.35,0
01_13,2017-12-11,24.28,3,0.5670000000000001,0
01_13,2017-12-18,32.06,4,1.8,0
01_13,2017-12-25,13.08,1,1.625,0
01_13,2018-01-01,62.7,7,3.275,0
01_13,2018-01-08,44.82,4,3.6999999999999997,0
01_13,2018-01-15,15.56,2,0.325,0
01_13,2018-01-22,51.21,6,2.25,0
01_13,2018-01-29,32.06,4,0.8170000000000001,0
01_13,2018-02-05,27.41,3,0.6000000000000001,0
01_13,2018-02-12,53.99,3,13.299999999999999,0
01_13,2018-02-19,23.34,3,0.44999999999999996,0
01_13,2018-02-26,17.44,2,0.4,0
01_13,2018-03-05,27.240000000000002,3,0.5,0
01_13,2018-03-12,32.05,4,1.675,0
01_13,2018-03-19,82.50999999999999,8,2.3000000000000003,0
01_13,2018-03-26,90.47999999999999,12,3.1020000000000003,0
01_13,2018-04-02,42.45,5,1.1400000000000001,0
01_13,2018-04-09,46.129999999999995,4,10.216999999999999,0
01_13,2018-04-16,25.93,3,1.225,0
01_13,2018-04-23,44.709999999999994,5,2.3,0
01_13,2018-04-30,117.89,10,30.583000000000002,0
01_13,2018-05-07,62.1,6,2.8500000000000005,0
01_13,2018-05-14,37.51,4,6.1000000000000005,0
01_13,2018-05-21,29.060000000000002,3,0.95,0
01_13,2018-06-04,29.06,3,0.875,0
01_13,2018-06-11,30.57,4,1.913,0
01_13,2018-06-18,105.97,5,19.174999999999997,0
01_13,2018-06-25,29.9,2,1.717,0
01_13,2018-07-02,20.18,2,0.375,0
01_13,2018-07-09,70.91,3,12.9,0
01_13,2018-07-16,76.81,4,9.25,0
01_13,2018-07-23,9.59,1,0.975,0
01_13,2018-07-30,36.39,4,5.2,0
01_13,2018-08-06,15.75,2,0.667,0
01_13,2018-08-13,8.44,1,0.25,0
01_13,2018-08-20,44.92,3,22.7,0
01_14,2017-01-30,10.96,1,0.225,0
01_14,2017-03-20,10.96,1,0.1,0
01_14,2017-05-08,13.86,1,1.287,0
01_14,2017-06-19,11.85,1,0.3,0
01_14,2017-07-24,11.85,1,0.175,0
01_14,2017-08-14,11.85,1,1.8,0
01_14,2017-11-06,11.85,1,0.15,0
01_14,2017-12-11,17.55,1,2.45,0
01_14,2017-12-18,11.85,1,0.15,0
01_14,2018-01-15,23.7,2,0.35,0
01_14,2018-01-22,13.44,1,1.4,0
01_14,2018-01-29,11.85,1,0.2,0
01_14,2018-02-05,11.85,1,0.15,0
01_14,2018-02-12,13.62,1,0.6,0
01_14,2018-02-19,47.4,4,0.7000000000000001,0
01_14,2018-02-26,11.85,1,0.2,0
01_14,2018-03-12,12.79,1,0.2,0
01_14,2018-03-19,55.379999999999995,4,1.7,0
01_14,2018-03-26,15.06,1,5.65,0
01_14,2018-04-09,13.98,1,0.75,0
01_14,2018-04-16,19.47,1,3.5,0
01_14,2018-04-30,12.79,1,0.5,0
01_14,2018-05-21,71.15,5,2.5,0
01_14,2018-05-28,12.79,1,0.3,0
01_14,2018-06-11,27.58,2,1.825,0
01_14,2018-07-09,12.79,1,0.175,0
01_14,2018-07-16,51.22,4,0.65,0
01_14,2018-07-23,13.11,1,0.3,0
01_14,2018-08-06,32.68,2,1.117,0
01_15,2017-01-30,18.0,1,0.5,0
01_15,2017-03-20,14.12,1,1.7,0
01_15,2017-06-05,11.85,1,0.3,0
01_15,2017-07-24,3.85,1,0.5,0
01_15,2017-08-14,60.14,2,18.900000000000002,0
01_15,2017-09-25,12.06,1,2.2,0
01_15,2017-10-23,16.04,1,1.625,0
01_15,2017-11-13,13.07,1,0.88,0
01_15,2017-12-11,11.85,1,0.167,0
01_15,2018-01-15,23.7,2,0.42500000000000004,0
01_15,2018-01-22,11.85,1,0.15,0
01_15,2018-01-29,35.55,3,0.8620000000000001,0
01_15,2018-02-19,23.7,2,0.4,0
